year,month,state,gender,value
2035,July,Jharkhand,Total,12692
2035,July,Jharkhand,Male,6645
2035,July,Jharkhand,Female,6047
2035,July,Jammu and Kashmir,Total,4961
2035,July,Jammu and Kashmir,Male,2686
2035,July,Jammu and Kashmir,Female,2275
2035,July,Himachal Pradesh,Total,825
2035,July,Himachal Pradesh,Male,445
2035,July,Himachal Pradesh,Female,380
2035,July,Haryana,Total,16863
2035,July,Haryana,Male,9003
2035,July,Haryana,Female,7860
2035,July,Gujarat,Total,44214
2035,July,Gujarat,Male,23518
2035,July,Gujarat,Female,20696
2035,July,Goa,Total,1454
2035,July,Goa,Male,744
2035,July,Goa,Female,711
2035,July,Delhi,Total,26319
2035,July,Delhi,Male,14089
2035,July,Delhi,Female,12230
2035,July,Daman and Diu,Total,1844
2035,July,Daman and Diu,Male,1558
2035,July,Daman and Diu,Female,287
2035,July,Dadra and Nagar Haveli,Total,1312
2035,July,Dadra and Nagar Haveli,Male,780
2035,July,Dadra and Nagar Haveli,Female,532
2035,July,Chhattisgarh,Total,10530
2035,July,Chhattisgarh,Male,5383
2035,July,Chhattisgarh,Female,5147
2035,July,Chandigarh,Total,1354
2035,July,Chandigarh,Male,743
2035,July,Chandigarh,Female,611
2035,July,Bihar,Total,19533
2035,July,Bihar,Male,10308
2035,July,Bihar,Female,9225
2035,July,Assam,Total,6702
2035,July,Assam,Male,3444
2035,July,Assam,Female,3258
2035,July,Arunachal Pradesh,Total,487
2035,July,Arunachal Pradesh,Male,258
2035,July,Arunachal Pradesh,Female,229
2035,July,Andhra Pradesh,Total,24026
2035,July,Andhra Pradesh,Male,12092
2035,July,Andhra Pradesh,Female,11934
2035,July,Andaman and Nicobar Islands,Total,211
2035,July,Andaman and Nicobar Islands,Male,113
2035,July,Andaman and Nicobar Islands,Female,98
2035,July,All India,Total,589204
2035,July,All India,Male,305803
2035,July,All India,Female,283401
2034,October,West Bengal,Total,42913
2034,October,West Bengal,Male,22075
2034,October,West Bengal,Female,20838
